metric,mean,standard_deviation,minimum,maximum
accuracy,0.5411042944785276,0.007999021356076863,0.5337423312883436,0.5521472392638037
precision_macro,0.4987988748462134,0.006514025989663339,0.49291293726887386,0.5086623354989172
recall_macro,0.5738727858293076,0.012490927472171225,0.5585382813643682,0.5880361586883326
f1_macro,0.5045998445921084,0.004339395640534044,0.5011923442397941,0.5118810181500383
best_validation_loss,0.7262695047752988,0.007682821514820924,0.7153441244107814,0.7341191995363294
best_epoch,82.6,11.148990985734988,69.0,99.0
epochs_completed,94.6,6.767569726275452,84.0,100.0
training_time_seconds,10326.659937839955,913.0467698226978,9509.288543799892,11879.480229499983
quality_5_precision,0.6773245810645347,0.004858548667444781,0.6707317073170732,0.6835443037974683
quality_5_recall,0.7694444444444445,0.03197462342561481,0.7361111111111112,0.8194444444444444
quality_5_f1,0.7201806357946031,0.013507132023908278,0.7066666666666667,0.7421383647798742
quality_6_precision,0.46904850293168654,0.019919410574921845,0.4473684210526316,0.5
quality_6_recall,0.25217391304347825,0.024251015261857262,0.21739130434782608,0.2753623188405797
quality_6_f1,0.32712408560455686,0.019410481050694355,0.30303030303030304,0.3486238532110092
quality_7_precision,0.3500235405424189,0.012777603643143924,0.3409090909090909,0.37209302325581395
quality_7_recall,0.7,0.040655781409087106,0.6363636363636364,0.7272727272727273
quality_7_f1,0.46649481237716534,0.01822651139974748,0.4444444444444444,0.49230769230769234
