metric,mean,standard_deviation,minimum,maximum
accuracy,0.9670588235294117,0.00984305913569501,0.9529411764705882,0.9764705882352941
precision_malignant,0.9868817204301076,0.017966966515445514,0.9666666666666667,1.0
recall_malignant,0.925,0.01711632992203644,0.90625,0.9375
f1_malignant,0.9548336732895167,0.01350730691887592,0.9354838709677419,0.967741935483871
specificity_benign,0.9924528301886791,0.010334387877455962,0.9811320754716981,1.0
best_epoch,33.0,11.789826122551595,20.0,49.0
best_validation_loss,0.09493255175780231,0.002397222549705195,0.09181483775473145,0.09822184125591507
epochs_completed,48.0,11.789826122551595,35.0,64.0
training_time_seconds,1.6989275199361145,0.16232146277735904,1.525227899895981,1.9160549000371248
