epoch,training_loss,validation_loss
1,0.49686225419653984,0.34393924790270186
2,0.2608098235718887,0.18153618994881124
3,0.18011843900483354,0.13242828122833195
4,0.15894772788337,0.11674835817778811
5,0.1527090824412224,0.1102055799051681
6,0.15108845892705416,0.1054485777310808
7,0.14821972905245043,0.10383604690980386
8,0.1464669762417338,0.1024142520625473
9,0.14530133231914133,0.1004809360827922
10,0.14531989507657245,0.09951982630745453
11,0.14413789536029026,0.09992947801810634
12,0.14371403177878014,0.09784329479272642
13,0.14345086565740725,0.09796503244912909
14,0.1433399824196832,0.09789583990898203
15,0.1423819493642427,0.09741025162614225
16,0.1430622924464687,0.09663478322738014
17,0.14148876723602302,0.09916204605662428
18,0.14234191252100736,0.09601595647742643
19,0.14074125213730604,0.09724207932389725
20,0.14182918055687932,0.09797088618403958
21,0.14113127096628486,0.09758662645129816
22,0.14106607481949313,0.09569385461029871
23,0.14008465962003647,0.09642017778995282
24,0.1402250416670228,0.09522646375733208
25,0.1416130680637551,0.09759959199753425
26,0.13973490972267955,0.09765453047721702
27,0.13945868585193366,0.09668084861888715
28,0.13922117620631866,0.09594293650588952
29,0.13987856307872257,0.0962702302440234
30,0.13881025231562386,0.0966036052449935
31,0.13854299061569877,0.09613494821789893
32,0.13897741759630075,0.09673091185018969
33,0.13839148974657656,0.0980264600537553
34,0.1384314989815828,0.09687269765041386
35,0.13817115124305687,0.09723885625888429
36,0.13856412959576847,0.09514460061293314
37,0.13789864246707811,0.0961331184809644
38,0.13683753417697467,0.09704794369275024
39,0.13930686886298627,0.09806867523447556
