model,number_of_runs,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,training_time_mean_seconds,training_time_std_seconds
Hybrid VQC,5,0.5411042944785276,0.007999021356076863,0.4987988748462134,0.006514025989663339,0.5738727858293076,0.012490927472171225,0.5045998445921084,0.004339395640534044,10326.659937839955,913.0467698226978
Logistic regression,1,0.5214723926380368,,0.47992159816161206,,0.565089298784951,,0.49054680360725095,,0.004022200126200914,
SVM RBF,1,0.5398773006134969,,0.5069507864028412,,0.5799846288976724,,0.5164937562640518,,0.010797499911859632,
Classical MLP,5,0.5423312883435583,0.011959256864796278,0.5022537053369129,0.00967288888418976,0.5772251500512371,0.011577334874871488,0.5129428298392178,0.009815796668360643,2.3863936000037937,0.8194581386026841
