split_seed,training_seed,epochs_completed,best_epoch,best_validation_loss,stopped_early,training_time_seconds,accuracy,precision_malignant,recall_malignant,f1_malignant,specificity_benign,true_negatives,false_positives,false_negatives,true_positives
42,42,100,100,0.09594496105633238,False,6242.3657166999765,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0,53,0,2,30
42,123,100,91,0.09258020898217664,False,9794.973764700117,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0,53,0,2,30
42,456,100,97,0.09369724797194495,False,12678.603816299932,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0,53,0,2,30
42,789,100,98,0.09204831915250157,False,10025.021097599994,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0,53,0,2,30
42,2026,100,92,0.0934556172174566,False,11031.316622199956,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0,53,0,2,30
