epoch,training_loss,validation_loss
1,1.0772129691491916,1.0254854439226395
2,0.9965446311344938,0.9581530825492063
3,0.9602549091724586,0.9226647662970185
4,0.9359606441863253,0.8912695485390038
5,0.9155321312075838,0.8693377529185242
6,0.8998287363940962,0.8445071365935671
7,0.8867046359017139,0.8325839774008909
8,0.8847632516087509,0.8171241451626176
9,0.8736960551557266,0.8084645995333151
10,0.8665994954860117,0.8007127602407538
11,0.8639724925747068,0.7936665474271482
12,0.8652371038289208,0.7865514707711577
13,0.8576613577019199,0.7852579662404908
14,0.8603045446040436,0.7803974213775682
15,0.8534864362456355,0.7753163989336213
16,0.8487872889661413,0.7744781539484036
17,0.8486186971501728,0.7694815298530953
18,0.8505490057737496,0.7636080735300216
19,0.8442060252812904,0.7590053714126166
20,0.8467130526470075,0.76481103933662
21,0.8385113380712474,0.7632883860289685
22,0.8429479364335067,0.7571305062141886
23,0.8516183806842393,0.7515139349399169
24,0.8384559845986954,0.7522106759387291
25,0.8406136780586142,0.7556892604184297
26,0.8349327659356626,0.7541321066259606
27,0.8407716530514514,0.7523375841006179
28,0.8346554427322127,0.7465575754276814
29,0.8363645062671872,0.7492715226360626
30,0.8355500483763186,0.7459136474351942
31,0.8416983557185476,0.7543706612352945
32,0.8309047946466861,0.7443778310085367
33,0.8404855878334346,0.7424548001377129
34,0.8325771282664122,0.7444221359089108
35,0.8291301121861916,0.7454340297020287
36,0.8286535312810283,0.7477657809579299
37,0.8315126099611517,0.7418289612407333
38,0.8327346157839918,0.744511403189115
39,0.8323868691451907,0.7400211187228103
40,0.826534186448325,0.7400764490197773
41,0.8343878094292688,0.7452054802625457
42,0.8336050299208934,0.7444205145163039
43,0.8335754267499829,0.7478099059473517
44,0.8315886157391266,0.7405530737221606
45,0.8293206992111807,0.7434166366337267
46,0.8351119453199892,0.7382884742292158
47,0.8324399717210784,0.7372877261389984
48,0.8339265459791569,0.7431155209161021
49,0.8262739539772194,0.7414976570503843
50,0.8288684567128579,0.739749546431325
51,0.8395276795534949,0.7416427091586809
52,0.8382746096983982,0.7386229568463893
53,0.8304129269492282,0.7409673706154151
54,0.8314357686230517,0.7420794762716703
55,0.8289746150882851,0.7403535660059174
56,0.8253885332367864,0.7378117723698996
57,0.829370453601747,0.7357341654461586
58,0.8282598344672696,0.7491501061462917
59,0.8280645870161182,0.7406519907383831
60,0.8326256024868782,0.7385660779256762
61,0.8253335857328781,0.7385691642029885
62,0.8264260553312427,0.739578365182584
63,0.8314537955081369,0.7516410164306501
64,0.8305072144573442,0.7486929140207957
65,0.8357893943473735,0.7354777404135722
66,0.828953927113941,0.7421437991908723
67,0.8341581863681162,0.7349937923846801
68,0.8240882300642218,0.7387353755945077
69,0.8288431081559089,0.747018935124567
70,0.8306756290238048,0.737308150054487
71,0.8274568682267597,0.7418255081937357
72,0.8277070043593879,0.7421079877695423
73,0.8314888851223342,0.7395506000226261
74,0.8302214650970119,0.7479694591709442
75,0.8291054925737106,0.7393950984521878
76,0.8305807514140612,0.7389968973727314
77,0.8303943425025839,0.7394168197743001
78,0.8267705196470726,0.74150330193935
79,0.8242839352665298,0.738664436194063
80,0.8305492158636959,0.7399233703964327
81,0.8286259491925477,0.7366191020772501
82,0.8267547428764384,0.7341191995363294
83,0.8296247166911448,0.736258149878379
84,0.8286218097203673,0.736551662895577
85,0.8273501602683481,0.7404522877529355
86,0.8289722282429692,0.739540521352569
87,0.8289211700594644,0.7387975509181345
88,0.8283725136847008,0.738357809423669
89,0.8339396377248088,0.7567712591469653
90,0.828669740771997,0.7399640990181203
91,0.8294169164392267,0.7403194081563891
92,0.8276153788791867,0.7412589828660883
93,0.8317430948647927,0.7372268515130493
94,0.8237498275876984,0.7356381211544107
95,0.8295219914493911,0.7365734408969528
96,0.8258033557513881,0.73586104654827
97,0.8272962976941286,0.7421852313667718
