epoch,training_loss,validation_loss
1,1.0540159407250211,0.9300343346742034
2,0.924350042824983,0.8211540590766018
3,0.8694972298902477,0.7824463164148155
4,0.8498007953949175,0.759525110750842
5,0.8438854339554553,0.7563883552522016
6,0.8436086659669251,0.7539275489701815
7,0.8329718435217389,0.7525851448620755
8,0.8227359807397437,0.7476162566729119
9,0.8253605994652575,0.7430622456995256
10,0.8323677848643205,0.7466177004246624
11,0.8212886735836039,0.7440919861471726
12,0.8267040595294922,0.7405459676052164
13,0.8173095975022303,0.7440560712404778
14,0.8178123852086505,0.7481684831022485
15,0.8208012691945854,0.7517543255917134
16,0.8117215434710184,0.7364340318492585
17,0.8162771513455809,0.7484352895818605
18,0.8258076749761586,0.7464879473294217
19,0.8170587600372595,0.7379713895862088
20,0.8075356774442778,0.7437844064338076
21,0.807931780189354,0.7377394328088117
22,0.8138530291910246,0.7389473951667365
23,0.8056731802897816,0.7357126898560787
24,0.8093308635896898,0.7461938309523225
25,0.8198449703964974,0.7412731157490081
26,0.8012267042958517,0.733470047178444
27,0.8045915856448997,0.7406156896813515
28,0.8048482380826955,0.7300820153183732
29,0.8236662108754236,0.7358104575631077
30,0.805673591108147,0.7443887148898072
31,0.8074972107028711,0.7410342912732458
32,0.8069610691133133,0.7366942649970025
33,0.8091264306090948,0.7272494102548237
34,0.8020355502764384,0.7296199257388437
35,0.8082017379170015,0.736004828675393
36,0.8018744117005916,0.7297590093378641
37,0.7921749472305217,0.7186103583844893
38,0.8020994405108174,0.7320010508496337
39,0.8003916217899072,0.7288773111039144
40,0.7931312369549368,0.7230229867747956
41,0.8034639397631167,0.728636622428894
42,0.800189800775583,0.7334079384072426
43,0.8109669269226355,0.7205467904272255
44,0.8066433381064357,0.7318908985407074
45,0.803562867046967,0.7238893106671199
46,0.8057915507339117,0.724072125791772
47,0.7995574543169477,0.7339238330630437
48,0.7900523928206736,0.7254839638259514
49,0.7932538631081268,0.7231563673428962
50,0.7927398057434503,0.7196271770570907
51,0.7963194479466736,0.7257997879952741
52,0.7954094043866856,0.7165031316090216
53,0.8013673825213915,0.7211861493397345
54,0.8003289122281112,0.7352329814360917
55,0.7966229124019152,0.7235972866690232
56,0.7961788698444217,0.7302718389253675
57,0.7911886654188001,0.7216126092372497
58,0.8028081125161779,0.7243814665847029
59,0.7970510054761031,0.7242127810519166
60,0.7972617188463686,0.724637185137696
61,0.799745473805375,0.7188277215314057
62,0.8019828463163902,0.7118462543546057
63,0.7884171972750366,0.7228747993890493
64,0.7947668619356131,0.7239927272855139
65,0.8033716731809881,0.7177334921491658
66,0.8114550060487482,0.7084600962012824
67,0.7966693949511671,0.7320184927045202
68,0.8003346158137784,0.7235161636504659
69,0.7861985709723525,0.7260945494189585
70,0.7952002806300567,0.7157026726775374
71,0.8036151375044674,0.7179904269294505
72,0.799799637531671,0.7177507460483012
73,0.7944749518642276,0.7156901231572672
74,0.7951494040764536,0.7229700417606377
75,0.8123517249199975,0.7142410073543619
76,0.812822655586433,0.7289544665740312
77,0.7991671022467726,0.7222390796509257
78,0.8032623981553426,0.7132601456408121
79,0.8051655617911672,0.720181213200458
80,0.7949739136095122,0.7161091339368761
81,0.7904030991977281,0.7259587919785201
