training_seed,best_epoch,best_validation_loss,epochs_completed,stopped_early,training_time_seconds,accuracy,precision_malignant,recall_malignant,f1_malignant,specificity_benign
42,32,0.09576103707076981,47,True,1.6768477000296116,0.9647058823529412,0.967741935483871,0.9375,0.9523809523809523,0.9811320754716981
123,20,0.09822184125591507,35,True,1.525227899895981,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0
456,40,0.09363857895026312,55,True,1.8052188998553902,0.9647058823529412,1.0,0.90625,0.9508196721311475,1.0
789,24,0.09522646375733208,39,True,1.5712881998624653,0.9764705882352941,1.0,0.9375,0.967741935483871,1.0
2026,49,0.09181483775473145,64,True,1.9160549000371248,0.9529411764705882,0.9666666666666667,0.90625,0.9354838709677419,0.9811320754716981
