metric,mean,standard_deviation,minimum,maximum
accuracy,0.976470588235294,1.2412670766236366e-16,0.9764705882352941,0.9764705882352941
precision_malignant,1.0,0.0,1.0,1.0
recall_malignant,0.9375,0.0,0.9375,0.9375
f1_malignant,0.967741935483871,0.0,0.967741935483871,0.967741935483871
specificity_benign,1.0,0.0,1.0,1.0
best_validation_loss,0.09354527087608243,0.0014968180165905744,0.09204831915250157,0.09594496105633238
best_epoch,95.6,3.9115214431215892,91.0,100.0
training_time_seconds,9954.456203499994,2365.9373624655805,6242.3657166999765,12678.603816299932
