training_seed,best_epoch,best_validation_loss,epochs_completed,stopped_early,training_time_seconds,accuracy,precision_macro,recall_macro,f1_macro
42,16,0.7286111577156863,31,True,1.8827935999725014,0.5460122699386503,0.5110019110019111,0.5846142585273021,0.5218661015344505
123,7,0.7463211874289015,22,True,1.6082830000668764,0.5337423312883436,0.4935684470568191,0.5644305372566242,0.5035158235158236
456,52,0.7277960217803534,67,True,3.0725698999594897,0.558282208588957,0.5141665138455895,0.5932696530522618,0.5250514456121932
789,66,0.7084600962012824,81,True,3.4518875998910517,0.5276073619631901,0.4941837692090472,0.5705240813936466,0.5083550953711763
2026,18,0.7206169410717268,33,True,1.91643390012905,0.5460122699386503,0.4983478855711974,0.5732872200263505,0.5059256831624452
