model,number_of_runs,accuracy_mean,accuracy_std,precision_malignant_mean,precision_malignant_std,recall_malignant_mean,recall_malignant_std,f1_malignant_mean,f1_malignant_std,specificity_benign_mean,specificity_benign_std,training_time_mean_seconds,training_time_std_seconds
Hybrid VQC,5,0.976470588235294,1.2412670766236366e-16,1.0,0.0,0.9375,0.0,0.967741935483871,0.0,1.0,0.0,9954.456203499994,2365.9373624655805
Logistic regression,1,0.9764705882352941,,1.0,,0.9375,,0.967741935483871,,1.0,,0.004392899805679917,
SVM RBF,1,0.9647058823529412,,1.0,,0.90625,,0.9508196721311475,,1.0,,0.015207999851554632,
Classical MLP,5,0.9670588235294117,0.00984305913569501,0.9868817204301076,0.017966966515445514,0.925,0.01711632992203644,0.9548336732895167,0.01350730691887592,0.9924528301886791,0.010334387877455962,1.6989275199361145,0.16232146277735904
