metric,mean,standard_deviation,minimum,maximum
accuracy,0.5423312883435583,0.011959256864796278,0.5276073619631901,0.558282208588957
precision_macro,0.5022537053369129,0.00967288888418976,0.4935684470568191,0.5141665138455895
recall_macro,0.5772251500512371,0.011577334874871488,0.5644305372566242,0.5932696530522618
f1_macro,0.5129428298392178,0.009815796668360643,0.5035158235158236,0.5250514456121932
best_epoch,31.8,25.65540878645281,7.0,66.0
best_validation_loss,0.7263610808395902,0.013774688283244135,0.7084600962012824,0.7463211874289015
epochs_completed,46.8,25.655408786452806,22.0,81.0
training_time_seconds,2.3863936000037937,0.8194581386026841,1.6082830000668764,3.4518875998910517
